Devices
1000
,,Bertec Force Plate #1 - Force,,,Bertec Force Plate #1 - Moment,,,Bertec Force Plate #1 - CoP,,,Bertec Force Plate #2 - Force,,,Bertec Force Plate #2 - Moment,,,Bertec Force Plate #2 - CoP,,,
Frame,Sub Frame,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz,Fx,Fy,Fz,Mx,My,Mz,Cx,Cy,Cz
,,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm,N,N,N,N.mm,N.mm,N.mm,mm,mm,mm
13,3,-16.6193,-22.1933,-255.804,41459.3,11852.3,-4356.9,196.333,36.9259,0,10.1819,-17.233,-216.845,31401.7,-2465.21,426.637,-161.369,55.1884,0
13,4,-18.7555,-21.8881,-252.142,41276.2,11974.4,-4265.35,197.491,35.2981,0,10.4871,-16.6226,-216.235,30669.3,-2465.21,518.19,-161.401,58.1669,0
13,5,-20.2814,-23.1088,-253.973,41093.1,11608.2,-4356.9,195.706,37.1993,0,8.96118,-18.1485,-215.014,30486.1,-2465.21,518.19,-161.465,58.2132,0
13,6,-18.4503,-21.8881,-253.363,41642.4,11364,-4631.56,194.853,34.6414,0,9.57153,-17.8433,-212.573,30303,-2099,335.084,-159.874,57.4462,0
13,7,-17.5348,-23.7192,-256.415,41276.2,11974.4,-4356.9,196.699,38.0257,0,10.1819,-19.064,-209.521,30669.3,-2343.14,609.742,-161.183,53.622,0
13,8,-18.1451,-22.8036,-249.701,41093.1,11608.2,-4631.56,196.488,34.4308,0,9.26635,-18.4537,-209.521,31218.6,-2343.14,426.637,-161.183,51.0002,0
13,9,-16.9244,-24.9399,-243.597,40726.9,10997.8,-4540.01,195.147,31.8108,0,9.57153,-18.1485,-204.638,30303,-2221.07,518.19,-160.854,51.9189,0
14,0,-19.0607,-23.414,-250.922,40177.5,11974.4,-4631.56,197.722,38.8801,0,7.13012,-18.7588,-204.028,29021.3,-2221.07,335.084,-160.886,57.758,0
14,1,-16.9244,-25.8554,-246.039,40726.9,11608.2,-4631.56,197.18,33.4698,0,8.35083,-19.064,-202.807,29387.5,-2099,701.295,-160.35,55.0962,0
14,2,-16.6193,-25.2451,-252.142,40177.5,11486.1,-4723.11,195.554,39.6553,0,7.4353,-19.064,-200.976,28105.8,-1976.93,335.084,-159.837,60.1535,0
14,3,-15.7037,-24.0244,-249.701,39994.4,11486.1,-4540.01,195.999,38.8306,0,7.13012,-19.9795,-197.924,28105.8,-1976.93,243.531,-159.988,57.9973,0
14,4,-15.0934,-28.2968,-247.26,39994.4,11486.1,-4723.11,196.454,37.2491,0,8.656,-18.4537,-196.093,28838.2,-2099,518.19,-160.704,52.9362,0
